[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua	
[4/15/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:14PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killua	
[4/15/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killua	
[4/15/23 12:15PM] Player picked up item: Coin, id: 995, amount: 400, owner: Killua	
[4/15/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua	
[4/15/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Killua	
[4/15/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua	
[4/15/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Killua	
[4/15/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Killua	
[4/15/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua	
[4/15/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua	
[4/15/23 12:25PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Killua	
[4/15/23 12:29PM] Player picked up item: Coin, id: 995, amount: 2132841, owner: Killua	
[4/15/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Killua	
[4/15/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Killua	
[4/15/23 12:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Killua	
[4/15/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Killua	
[4/15/23 12:31PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Killua	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Killua	
