[4/19/23 02:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swigglecake	
[4/19/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 400, owner: Swigglecake	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Swigglecake	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 800, owner: Swigglecake	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Swigglecake	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 600, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Swigglecake	
[4/19/23 03:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Swigglecake	
