[4/19/23 12:50PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gerx	
[4/19/23 12:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerx	
[4/24/23 11:59AM] Player picked up item: Coin, id: 995, amount: 600, owner: Gerx	
[4/24/23 12:49PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gerx	
[4/25/23 11:47AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Gerx	
[4/25/23 06:38PM] Player picked up item: Coin, id: 995, amount: 400, owner: Gerx	
[4/25/23 06:40PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Gerx	
[4/25/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerx	
[4/25/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gerx	
[4/25/23 06:41PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Gerx	
[4/25/23 06:42PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Gerx	
[4/25/23 06:45PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Gerx	
[4/25/23 06:47PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Gerx	
