[4/20/23 11:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brazil	
[4/20/23 11:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Brazil	
[4/20/23 11:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Brazil	
[4/20/23 11:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brazil	
[4/20/23 11:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Brazil	
[4/20/23 11:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brazil	
[4/20/23 11:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brazil	
[4/20/23 11:21AM] Player picked up item: Coin, id: 995, amount: 2292772, owner: Brazil	
[4/20/23 11:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Brazil	
[4/20/23 11:22AM] Player picked up item: Coin, id: 995, amount: 3431357, owner: Brazil	
[4/20/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Brazil	
[4/20/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Brazil	
[4/20/23 11:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Brazil	
[4/20/23 12:06PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Brazil	
[4/20/23 12:07PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Brazil	
[4/20/23 12:07PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Brazil	
[4/20/23 12:07PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Brazil	
[4/20/23 12:08PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Brazil	
[4/20/23 12:12PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Brazil	
[4/20/23 12:20PM] Player picked up item: Coin, id: 995, amount: 1407186, owner: Brazil	
[4/20/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Brazil	
[4/20/23 12:21PM] Player picked up item: Coin, id: 995, amount: 2125584, owner: Brazil	
[4/20/23 12:21PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Brazil	
[4/20/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Brazil	
[4/20/23 12:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Brazil	
[4/20/23 12:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Brazil	
[4/20/23 12:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Brazil	
[4/20/23 12:30PM] Player picked up item: Coin, id: 995, amount: 54000, owner: Brazil	
[4/20/23 12:30PM] Player picked up item: Coin, id: 995, amount: 27000, owner: Brazil	
[4/20/23 12:30PM] Player picked up item: Coin, id: 995, amount: 18000, owner: Brazil	
[4/20/23 12:33PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Brazil	
[4/20/23 12:33PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Brazil	
[4/20/23 12:33PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Brazil	
[4/20/23 12:33PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Brazil	
[4/20/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Brazil	
[4/20/23 02:22PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Brazil	
[4/21/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Brazil	
[4/21/23 01:10PM] Player picked up item: Vial, id: 229, amount: 1, owner: Berrka	
[4/23/23 05:35AM] Player picked up item: Coin, id: 995, amount: 1138216, owner: Brazil	
