[4/20/23 09:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 09:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Washi	
[4/20/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 09:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Washi	
[4/20/23 09:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 09:15PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Washi	
[4/20/23 09:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Washi	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 600, owner: Washi	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Washi	
[4/20/23 11:34PM] Player picked up item: Coin, id: 995, amount: 1660722, owner: Washi	
[4/20/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Washi	
[4/20/23 11:36PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Washi	
[4/20/23 11:36PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Washi	
[4/20/23 11:39PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Washi	
[4/20/23 11:40PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Washi	
[4/20/23 11:40PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Washi	
[4/20/23 11:47PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Washi	
[4/20/23 11:49PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Washi	
[4/20/23 11:52PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Washi	
[4/20/23 11:53PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Washi	
[4/20/23 11:53PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Washi	
[4/20/23 11:53PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Washi	
[4/20/23 11:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Washi	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Washi	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Washi	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Washi	
[4/20/23 11:55PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Washi	
[4/21/23 12:18AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Washi	
[4/21/23 12:18AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Washi	
[4/21/23 12:18AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Washi	
[4/21/23 12:19AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Washi	
[4/21/23 12:19AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Washi	
[4/27/23 07:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Washi	
[4/27/23 07:10AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Washi	
[4/27/23 08:07AM] Player picked up item: Coin, id: 995, amount: 2912704, owner: Washi	
[4/27/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Washi	
[4/27/23 08:28AM] Player picked up item: Aberrant Amulet, id: 19892, amount: 1, owner: Washi	
[4/27/23 10:10AM] Player picked up item: Coin, id: 995, amount: 42000, owner: Washi	
