[4/15/23 02:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kaukai	
[4/15/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kaukai	
[4/15/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kaukai	
[4/15/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kaukai	
[4/15/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kaukai	
