[4/15/23 09:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
[4/15/23 09:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Spooned	
[4/15/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Spooned	
