[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:13AM] Player picked up item: Starter Cannon, id: 22083, amount: 1, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:33AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tokin Joker	
[4/23/23 03:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tokin Joker	
[4/23/23 03:33AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tokin Joker	
[4/23/23 03:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tokin Joker	
[4/23/23 03:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:35AM] Player picked up item: Starter Blade, id: 22084, amount: 1, owner: Tokin Joker	
[4/23/23 03:35AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 03:35AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tokin Joker	
[4/23/23 03:35AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Coin, id: 995, amount: 800, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tokin Joker	
[4/23/23 03:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tokin Joker	
[4/23/23 03:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Tokin Joker	
[4/23/23 03:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Tokin Joker	
[4/23/23 03:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tokin Joker	
[4/23/23 03:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tokin Joker	
