[4/16/23 03:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Liam	
[4/16/23 03:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Liam	
[4/16/23 03:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Liam	
[4/16/23 03:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Liam	
[4/16/23 03:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Liam	
[4/16/23 03:53PM] Player picked up item: Coin, id: 995, amount: 400, owner: Liam	
[4/16/23 03:53PM] Player picked up item: Coin, id: 995, amount: 400, owner: Liam	
[4/16/23 03:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Liam	
[4/16/23 03:54PM] Player picked up item: Coin, id: 995, amount: 1904301, owner: Liam	
[4/16/23 03:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Liam	
[4/16/23 03:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Liam	
[4/16/23 03:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Liam	
[4/16/23 04:01PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Liam	
[4/16/23 04:01PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Liam	
[4/16/23 04:01PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:01PM] Player picked up item: Coin, id: 995, amount: 800, owner: Liam	
[4/16/23 04:06PM] Player picked up item: Coin, id: 995, amount: 500, owner: Liam	
[4/16/23 04:08PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Liam	
[4/16/23 04:13PM] Player picked up item: Coin, id: 995, amount: 700, owner: Liam	
[4/16/23 04:13PM] Player picked up item: Coin, id: 995, amount: 700, owner: Liam	
[4/16/23 04:13PM] Player picked up item: Coin, id: 995, amount: 700, owner: Liam	
[4/16/23 04:14PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Liam	
[4/16/23 04:14PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Liam	
[4/16/23 04:14PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Liam	
[4/16/23 04:14PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Liam	
[4/16/23 04:14PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Liam	
[4/16/23 04:15PM] Player picked up item: Coin, id: 995, amount: 700, owner: Liam	
[4/16/23 04:24PM] Player picked up item: Coin, id: 995, amount: 1366802, owner: Liam	
[4/16/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Liam	
[4/16/23 04:24PM] Player picked up item: Coin, id: 995, amount: 4074894, owner: Liam	
[4/16/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Liam	
[4/16/23 04:30PM] Player picked up item: Coin, id: 995, amount: 900, owner: Liam	
[4/16/23 04:39PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Liam	
[4/16/23 04:39PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Liam	
[4/16/23 04:39PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Liam	
[4/16/23 04:42PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Liam	
[4/16/23 04:44PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Liam	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Liam	
[4/16/23 04:47PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:47PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:47PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Liam	
[4/16/23 04:47PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Liam	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:50PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:51PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Liam	
[4/16/23 04:51PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Liam	
[4/16/23 04:51PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Liam	
[4/16/23 04:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Liam	
