[4/22/23 10:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
[4/22/23 11:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ganon	
[4/22/23 11:02PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ganon	
