[4/16/23 03:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Krafty	
[4/16/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:04AM] Player picked up item: Coin, id: 995, amount: 100, owner: Krafty	
[4/17/23 08:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Krafty	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Krafty	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Coin, id: 995, amount: 600, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Coin, id: 995, amount: 900, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Coin, id: 995, amount: 300, owner: Krafty	
[4/17/23 08:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Krafty	
[4/17/23 08:30AM] Player picked up item: Coin, id: 995, amount: 400, owner: Krafty	
[4/17/23 08:50AM] Player picked up item: Coin, id: 995, amount: 4200, owner: Krafty	
[4/17/23 08:55AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Krafty	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 1205372, owner: Krafty	
[4/17/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Krafty	
[4/17/23 12:18PM] Player picked up item: Coin, id: 995, amount: 2719360, owner: Krafty	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Krafty	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Krafty	
[4/17/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Krafty	
[4/17/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Krafty	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Krafty	
[4/17/23 12:24PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Krafty	
[4/17/23 12:25PM] Player picked up item: Coin, id: 995, amount: 900, owner: Krafty	
[4/17/23 12:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Krafty	
[4/17/23 01:00PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Krafty	
[4/17/23 01:03PM] Player picked up item: Coin, id: 995, amount: 2084738, owner: Krafty	
[4/17/23 01:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Krafty	
[4/17/23 01:06PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Krafty	
[4/17/23 01:19PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Krafty	
[4/17/23 01:37PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Krafty	
[4/17/23 01:37PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Krafty	
[4/17/23 01:39PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Krafty	
[4/17/23 01:40PM] Player picked up item: Coin, id: 995, amount: 14000, owner: Krafty	
[4/17/23 01:46PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Krafty	
[4/17/23 01:49PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Krafty	
[4/17/23 01:58PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Krafty	
[4/17/23 01:59PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Krafty	
[4/17/23 02:03PM] Player picked up item: Coin, id: 995, amount: 1980007, owner: Krafty	
[4/17/23 02:03PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Krafty	
[4/17/23 02:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Krafty	
[4/17/23 03:03PM] Player picked up item: Coin, id: 995, amount: 1196523, owner: Krafty	
[4/17/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Krafty	
[4/21/23 09:28AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Krafty	
