[4/15/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rokas	
[4/15/23 11:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rokas	
[4/15/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rokas	
[4/15/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rokas	
[4/15/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rokas	
[4/15/23 11:35AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Rokas	
[4/15/23 12:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Rokas	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rokas	
[4/15/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rokas	
[4/15/23 12:50PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rokas	
[4/15/23 12:55PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Rokas	
[4/15/23 12:59PM] Player picked up item: Coin, id: 995, amount: 1358659, owner: Rokas	
[4/15/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rokas	
[4/15/23 01:14PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Rokas	
[4/15/23 01:15PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Rokas	
[4/15/23 01:16PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Rokas	
[4/15/23 01:17PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rokas	
[4/15/23 01:17PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Rokas	
[4/15/23 01:17PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Rokas	
[4/15/23 01:17PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rokas	
[4/15/23 01:18PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Rokas	
[4/15/23 01:19PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Rokas	
[4/15/23 01:20PM] Player picked up item: Coin, id: 995, amount: 800, owner: Rokas	
[4/15/23 01:21PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Rokas	
[4/15/23 01:22PM] Player picked up item: Coin, id: 995, amount: 800, owner: Rokas	
[4/15/23 01:23PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Rokas	
[4/15/23 01:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rokas	
[4/15/23 01:24PM] Player picked up item: Coin, id: 995, amount: 900, owner: Rokas	
[4/15/23 01:26PM] Player picked up item: Coin, id: 995, amount: 900, owner: Rokas	
[4/15/23 01:28PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Rokas	
[4/15/23 01:29PM] Player picked up item: Coin, id: 995, amount: 2111581, owner: Rokas	
[4/15/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rokas	
[4/15/23 01:29PM] Player picked up item: Coin, id: 995, amount: 4092080, owner: Rokas	
[4/15/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Rokas	
[4/15/23 01:31PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Rokas	
[4/15/23 01:31PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Rokas	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Rokas	
[4/15/23 01:39PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Rokas	
[4/15/23 01:43PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Rokas	
[4/15/23 01:51PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rokas	
[4/15/23 01:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rokas	
[4/15/23 01:51PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Rokas	
[4/15/23 01:59PM] Player picked up item: Coin, id: 995, amount: 2100329, owner: Rokas	
[4/15/23 01:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rokas	
[4/15/23 02:00PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Rokas	
[4/15/23 02:01PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Rokas	
[4/15/23 02:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rokas	
