[4/15/23 03:12PM] Player picked up item: Coin, id: 995, amount: 100, owner: Hankscute	
[4/15/23 03:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: 2jz	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2jz	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 400, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: 2jz	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2jz	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hankscute	
[4/15/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: 2jz	
[4/15/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2jz	
[4/15/23 03:14PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: 2jz	
[4/15/23 03:20PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: 2jz	
[4/15/23 03:22PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: 2jz	
[4/15/23 03:23PM] Player picked up item: Coin, id: 995, amount: 400, owner: 2jz	
[4/15/23 03:24PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: 2jz	
[4/15/23 03:24PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: 2jz	
[4/15/23 03:27PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2jz	
[4/15/23 03:28PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: 2jz	
[4/15/23 03:31PM] Player picked up item: Coin, id: 995, amount: 2281672, owner: 2jz	
[4/15/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 2jz	
[4/15/23 03:33PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: 2jz	
[4/15/23 03:35PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: 2jz	
[4/15/23 03:38PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: 2jz	
[4/15/23 03:38PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: 2jz	
[4/15/23 03:43PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: 2jz	
[4/15/23 03:47PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: 2jz	
[4/15/23 03:53PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: 2jz	
[4/15/23 03:56PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 2jz	
