[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Spacemonkey	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Spacemonkey	
[4/18/23 10:39AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Spacemonkey	
[4/18/23 10:40AM] Player picked up item: Coin, id: 995, amount: 400, owner: Spacemonkey	
[4/18/23 10:40AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Spacemonkey	
[4/18/23 10:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Spacemonkey	
