[4/15/23 07:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:54AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pkspirit	
[4/15/23 07:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Coin, id: 995, amount: 400, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:59AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pkspirit	
[4/15/23 07:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pkspirit	
[4/15/23 07:59AM] Player picked up item: Coin, id: 995, amount: 1102397, owner: Pkspirit	
