[4/18/23 06:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Greensleeve	
[4/18/23 06:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Greensleeve	
[4/18/23 06:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Greensleeve	
[4/18/23 06:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Greensleeve	
[4/18/23 06:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Greensleeve	
[4/18/23 06:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Greensleeve	
[4/18/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Greensleeve	
[4/18/23 06:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Greensleeve	
[4/18/23 06:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
[4/18/23 06:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Greensleeve	
[4/18/23 06:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Greensleeve	
