[4/16/23 09:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hated	
[4/16/23 09:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hated	
[4/16/23 09:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:34AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hated	
[4/16/23 09:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hated	
[4/16/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hated	
[4/16/23 09:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hated	
[4/16/23 09:43AM] Player picked up item: Coin, id: 995, amount: 800, owner: Hated	
[4/16/23 09:43AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hated	
[4/16/23 09:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hated	
