[4/15/23 11:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F E	
[4/15/23 11:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:54AM] Player picked up item: Coin, id: 995, amount: 100, owner: F E	
[4/15/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 11:59AM] Player picked up item: Coin, id: 995, amount: 1995721, owner: F E	
[4/15/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: F E	
[4/15/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: F E	
[4/15/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:06PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: F E	
[4/15/23 12:11PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: F E	
[4/15/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: F E	
[4/15/23 12:26PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: F E	
[4/15/23 12:28PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: F E	
[4/15/23 12:29PM] Player picked up item: Coin, id: 995, amount: 1237007, owner: F E	
[4/15/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: F E	
[4/15/23 12:33PM] Player picked up item: Coin, id: 995, amount: 3500, owner: F E	
[4/15/23 12:41PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: F E	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: F E	
[4/15/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: F E	
[4/15/23 12:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F E	
[4/15/23 12:51PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: F E	
[4/15/23 12:52PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: F E	
[4/15/23 12:55PM] Player picked up item: Coin, id: 995, amount: 6300, owner: F E	
[4/15/23 12:56PM] Player picked up item: Coin, id: 995, amount: 2700, owner: F E	
[4/15/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: F E	
