[4/17/23 12:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Loot King	
[4/17/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 01:03PM] Player picked up item: Coin, id: 995, amount: 2061068, owner: Loot King	
[4/17/23 01:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Loot King	
[4/17/23 01:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Loot King	
[4/17/23 01:09PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Loot King	
[4/17/23 01:11PM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Loot King	
[4/17/23 01:11PM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: Loot King	
[4/17/23 01:14PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Loot King	
[4/17/23 01:15PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Loot King	
[4/17/23 01:16PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Loot King	
[4/17/23 01:16PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Loot King	
[4/17/23 01:16PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Loot King	
[4/17/23 01:17PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Loot King	
[4/17/23 01:17PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Loot King	
[4/17/23 01:17PM] Player picked up item: Coin, id: 995, amount: 500, owner: Loot King	
[4/17/23 01:20PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Loot King	
[4/17/23 01:21PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Loot King	
[4/17/23 01:21PM] Player picked up item: Coin, id: 995, amount: 600, owner: Loot King	
[4/17/23 01:24PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Loot King	
[4/17/23 01:28PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Loot King	
[4/22/23 03:31PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Loot King	
[4/22/23 03:34PM] Player picked up item: Coin, id: 995, amount: 1370223, owner: Loot King	
[4/22/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Loot King	
[4/22/23 03:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Loot King	
[4/22/23 03:38PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Loot King	
[4/22/23 03:39PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Loot King	
[4/22/23 03:42PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Loot King	
[4/22/23 04:05PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Loot King	
[4/22/23 04:05PM] Player picked up item: Coin, id: 995, amount: 1952330, owner: Loot King	
