[4/19/23 11:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K8	
[4/19/23 11:21PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Grumpyoldman	
[4/19/23 11:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grumpyoldman	
[4/19/23 11:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grumpyoldman	
[4/19/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grumpyoldman	
[4/19/23 11:33PM] Player picked up item: Coin, id: 995, amount: 200, owner: Grumpyoldman	
