[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elven	
[4/19/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Elven	
[4/19/23 12:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elven	
