[4/20/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/20/23 11:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pjk	
[4/20/23 11:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pjk	
[4/20/23 11:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/20/23 11:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pjk	
[4/20/23 11:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pjk	
[4/20/23 11:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pjk	
[4/20/23 11:07PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Pjk	
[4/20/23 11:11PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Pjk	
[4/20/23 11:11PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pjk	
[4/20/23 11:13PM] Player picked up item: Starter Boots, id: 19945, amount: 1, owner: Pjk	
[4/20/23 11:14PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Pjk	
[4/20/23 11:14PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Pjk	
[4/20/23 11:17PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Pjk	
[4/20/23 11:19PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Pjk	
[4/20/23 11:19PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Pjk	
[4/20/23 11:20PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Pjk	
[4/20/23 11:22PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pjk	
[4/20/23 11:24PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pjk	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/20/23 11:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/20/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pjk	
[4/20/23 11:34PM] Player picked up item: Coin, id: 995, amount: 2244500, owner: Pjk	
[4/20/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Pjk	
[4/20/23 11:35PM] Player picked up item: Coin, id: 995, amount: 4034684, owner: Pjk	
[4/20/23 11:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Pjk	
[4/20/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Pjk	
[4/20/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/20/23 11:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pjk	
[4/21/23 12:48AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Pjk	
[4/21/23 12:49AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Pjk	
[4/21/23 12:49AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Pjk	
[4/21/23 12:50AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Pjk	
[4/21/23 12:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pjk	
[4/21/23 12:52AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Pjk	
[4/21/23 01:28AM] Player picked up item: Inferno Boots, id: 13305, amount: 1, owner: Pjk	
[4/24/23 06:07AM] Player picked up item: Tarn token, id: 10835, amount: 500000, owner: Dio	
