[4/16/23 12:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetarn	
[4/16/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vetarn	
[4/16/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vetarn	
[4/16/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vetarn	
[4/16/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
[4/16/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetarn	
[4/16/23 12:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vetarn	
[4/16/23 12:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vetarn	
[4/16/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetarn	
