[4/19/23 11:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wr3cked	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wr3cked	
[4/19/23 11:38AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Mave	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mave	
[4/19/23 11:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 1967795, owner: Mave	
[4/19/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mave	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 2496362, owner: Mave	
[4/19/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Mave	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Mave	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Mave	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Mave	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Mave	
[4/19/23 11:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mave	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mave	
[4/19/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 11:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mave	
[4/19/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 12:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mave	
[4/19/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mave	
[4/19/23 12:05PM] Player picked up item: Starter Body, id: 704, amount: 1, owner: Mave	
[4/19/23 12:06PM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Mave	
[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 1434213, owner: Mave	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mave	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Mave	
[4/19/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Mave	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 2526539, owner: Mave	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Mave	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Mave	
[4/19/23 12:23PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Mave	
[4/20/23 09:12AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Mave	
[4/20/23 09:13AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Mave	
[4/20/23 10:11AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Mave	
