[4/18/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:26PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Shug	
[4/18/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shug	
[4/18/23 01:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shug	
[4/18/23 01:30PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shug	
[4/18/23 01:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shug	
