[4/17/23 12:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sir Dope	
[4/17/23 12:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 12:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sir Dope	
[4/17/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 12:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sir Dope	
[4/17/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 12:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Lewa	
[4/17/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Lewa	
[4/17/23 12:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sir Dope	
[4/17/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 12:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sir Dope	
[4/17/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sir Dope	
[4/17/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 12:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sir Dope	
[4/17/23 12:30AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Sir Dope	
[4/17/23 12:42AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Sir Dope	
[4/17/23 12:42AM] Player picked up item: Coin, id: 995, amount: 300, owner: Sir Dope	
[4/17/23 12:43AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Sir Dope	
[4/17/23 12:43AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Sir Dope	
[4/17/23 12:47AM] Player picked up item: Coin, id: 995, amount: 2324671, owner: Sir Dope	
[4/17/23 12:47AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Sir Dope	
[4/17/23 12:54AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Sir Dope	
[4/17/23 12:54AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Sir Dope	
[4/17/23 01:00AM] Player picked up item: Coin, id: 995, amount: 2482162, owner: Sir Dope	
[4/17/23 01:00AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sir Dope	
[4/17/23 01:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Sir Dope	
[4/17/23 01:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Sir Dope	
[4/17/23 01:28AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Sir Dope	
[4/17/23 01:29AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Sir Dope	
[4/17/23 01:29AM] Player picked up item: Coin, id: 995, amount: 500, owner: Sir Dope	
[4/17/23 01:29AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Sir Dope	
[4/17/23 01:29AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Sir Dope	
[4/17/23 01:33AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Sir Dope	
[4/17/23 01:35AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Sir Dope	
[4/17/23 01:36AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Sir Dope	
[4/17/23 01:37AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Sir Dope	
[4/17/23 01:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sir Dope	
[4/17/23 05:58AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Coin, id: 995, amount: 900, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Sir Dope	
[4/17/23 06:01AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Sir Dope	
[4/17/23 06:03AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Sir Dope	
[4/17/23 06:11AM] Player picked up item: Coin, id: 995, amount: 1138964, owner: Sir Dope	
[4/17/23 06:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sir Dope	
[4/17/23 06:21AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Sir Dope	
[4/17/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Sir Dope	
[4/17/23 06:36AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sir Dope	
[4/17/23 06:37AM] Player picked up item: Mystic legs, id: 23023, amount: 1, owner: Sir Dope	
[4/17/23 06:37AM] Player picked up item: Mystic legs, id: 23023, amount: 1, owner: Sir Dope	
[4/17/23 06:37AM] Player picked up item: Mystic boots, id: 23025, amount: 1, owner: Sir Dope	
[4/20/23 09:51AM] Player picked up item: Coin, id: 995, amount: 1244847, owner: Sir Dope	
[4/20/23 09:51AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Sir Dope	
