[4/16/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Atz	
[4/16/23 10:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Atz	
[4/16/23 10:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Atz	
[4/16/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Atz	
[4/16/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Deam	
[4/16/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Deam	
[4/16/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Deam	
[4/16/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Deam	
[4/16/23 10:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Deam	
[4/16/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Deam	
[4/16/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Deam	
[4/16/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Deam	
[4/16/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Deam	
[4/16/23 10:25AM] Player picked up item: Coin, id: 995, amount: 1491754, owner: Deam	
[4/16/23 10:28AM] Player picked up item: Coin, id: 995, amount: 4369592, owner: Deam	
[4/16/23 10:28AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Deam	
