[4/15/23 08:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fake Taxi	
[4/15/23 08:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fake Taxi	
[4/15/23 09:00PM] Player picked up item: Coin, id: 995, amount: 2307519, owner: Fake Taxi	
[4/15/23 09:00PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Fake Taxi	
[4/15/23 09:11PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fake Taxi	
[4/15/23 09:11PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fake Taxi	
[4/15/23 09:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fake Taxi	
[4/15/23 09:13PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Fake Taxi	
[4/15/23 09:15PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fake Taxi	
[4/15/23 09:18PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Fake Taxi	
[4/15/23 09:18PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Fake Taxi	
[4/15/23 09:31PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Fake Taxi	
