[4/21/23 08:08AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Guan	
[4/21/23 08:08AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Guan	
[4/21/23 08:10AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Guan	
[4/21/23 08:12AM] Player picked up item: Coin, id: 995, amount: 400, owner: Guan	
[4/21/23 08:12AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Guan	
[4/21/23 08:12AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Guan	
[4/21/23 08:13AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Guan	
[4/21/23 08:13AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Guan	
[4/21/23 08:14AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Guan	
[4/21/23 08:14AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Guan	
[4/21/23 08:19AM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Guan	
[4/21/23 08:19AM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Guan	
[4/21/23 08:22AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Guan	
[4/21/23 08:23AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Guan	
[4/21/23 11:04AM] Player picked up item: Coin, id: 995, amount: 1210347, owner: Guan	
[4/21/23 11:04AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Guan	
[4/21/23 11:05AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Guan	
[4/21/23 11:06AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Guan	
[4/21/23 11:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Guan	
[4/21/23 11:08AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Guan	
[4/21/23 11:09AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Guan	
[4/21/23 11:20AM] Player picked up item: Coin, id: 995, amount: 600, owner: Guan	
[4/21/23 11:21AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Guan	
[4/21/23 11:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Guan	
[4/21/23 11:21AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Guan	
[4/21/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Guan	
[4/21/23 11:22AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Guan	
[4/21/23 11:22AM] Player picked up item: Coin, id: 995, amount: 800, owner: Guan	
