[4/15/23 10:44AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Tellur	
[4/15/23 01:08PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Tellur	
[4/15/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Tellur	
[4/15/23 01:11PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Tellur	
[4/15/23 01:15PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Tellur	
[4/15/23 01:25PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tellur	
[4/15/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tellur	
[4/15/23 01:56PM] Player picked up item: Nightmare boots, id: 23032, amount: 1, owner: Tellur	
[4/15/23 01:58PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tellur	
[4/15/23 01:59PM] Player picked up item: Coin, id: 995, amount: 1551133, owner: Tellur	
[4/15/23 02:02PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tellur	
[4/15/23 02:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Tellur	
[4/15/23 02:07PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Tellur	
[4/15/23 02:07PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Tellur	
[4/15/23 02:18PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Tellur	
[4/15/23 03:01PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Tellur	
[4/15/23 03:27PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tellur	
[4/15/23 03:27PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tellur	
[4/15/23 09:49PM] Player picked up item: Aberrant Boots, id: 8334, amount: 1, owner: Tellur	
[4/15/23 09:51PM] Player picked up item: Aberrant Gloves, id: 11140, amount: 1, owner: Tellur	
[4/15/23 09:56PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tellur	
[4/15/23 09:58PM] Player picked up item: Aberrant Gloves, id: 11140, amount: 1, owner: Tellur	
[4/15/23 10:00PM] Player picked up item: Coin, id: 995, amount: 1758841, owner: Tellur	
[4/15/23 10:00PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Tellur	
[4/15/23 10:03PM] Player picked up item: Coin, id: 995, amount: 18000, owner: Tellur	
[4/15/23 10:06PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tellur	
[4/15/23 10:11PM] Player picked up item: Inferno Blade, id: 20542, amount: 1, owner: Tellur	
[4/15/23 10:12PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Tellur	
[4/15/23 10:14PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Tellur	
[4/16/23 08:08AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Tellur	
[4/16/23 08:10AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Tellur	
[4/16/23 08:11AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Tellur	
[4/16/23 08:16AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Tellur	
[4/16/23 08:18AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Tellur	
[4/16/23 08:25AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Tellur	
[4/16/23 08:25AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tellur	
[4/16/23 08:31AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Tellur	
[4/16/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Tellur	
[4/17/23 11:49AM] Player picked up item: Antique Gloves, id: 8819, amount: 1, owner: Tellur	
[4/21/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Spookyszn	
[4/22/23 04:31PM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Tellur	
[4/22/23 10:32PM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Tellur	
[4/23/23 04:07PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Voki	
