[4/20/23 02:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: B0i	
[4/20/23 02:21AM] Player picked up item: Coin, id: 995, amount: 1888730, owner: B0i	
[4/20/23 02:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: B0i	
[4/20/23 02:23AM] Player picked up item: Coin, id: 995, amount: 3081335, owner: B0i	
[4/20/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: B0i	
[4/20/23 02:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: B0i	
[4/20/23 02:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: B0i	
[4/20/23 02:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: B0i	
[4/20/23 02:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: B0i	
[4/20/23 02:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: B0i	
[4/20/23 02:32AM] Player picked up item: Coin, id: 995, amount: 300, owner: B0i	
[4/20/23 02:36AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: B0i	
[4/20/23 02:38AM] Player picked up item: Coin, id: 995, amount: 500, owner: B0i	
[4/20/23 02:38AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: B0i	
[4/20/23 02:39AM] Player picked up item: Coin, id: 995, amount: 500, owner: B0i	
[4/20/23 02:39AM] Player picked up item: Coin, id: 995, amount: 500, owner: B0i	
[4/20/23 02:42AM] Player picked up item: Coin, id: 995, amount: 700, owner: B0i	
[4/20/23 02:42AM] Player picked up item: Coin, id: 995, amount: 700, owner: B0i	
[4/20/23 02:43AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: B0i	
[4/20/23 02:44AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: B0i	
[4/20/23 02:45AM] Player picked up item: Coin, id: 995, amount: 1400, owner: B0i	
[4/20/23 02:45AM] Player picked up item: Coin, id: 995, amount: 700, owner: B0i	
[4/20/23 02:47AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:47AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:48AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:48AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:48AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:53AM] Player picked up item: Coin, id: 995, amount: 1935255, owner: B0i	
[4/20/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: B0i	
[4/20/23 02:55AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:56AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:56AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:57AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:57AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:57AM] Player picked up item: Coin, id: 995, amount: 2000, owner: B0i	
[4/20/23 02:58AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:58AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
[4/20/23 02:59AM] Player picked up item: Coin, id: 995, amount: 4000, owner: B0i	
