[4/20/23 01:04PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Exc	
[4/20/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Exc	
[4/20/23 01:18PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Exc	
[4/20/23 01:18PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Exc	
[4/20/23 01:18PM] Player picked up item: Coin, id: 995, amount: 600, owner: Exc	
[4/20/23 01:20PM] Player picked up item: Coin, id: 995, amount: 1088147, owner: Exc	
[4/20/23 01:20PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Exc	
[4/20/23 01:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Exc	
[4/20/23 01:32PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Exc	
[4/20/23 01:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Exc	
[4/20/23 01:35PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Exc	
[4/20/23 10:31PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Exc	
[4/20/23 10:34PM] Player picked up item: Coin, id: 995, amount: 2193586, owner: Exc	
[4/20/23 10:34PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Exc	
[4/20/23 10:36PM] Player picked up item: Coin, id: 995, amount: 3648691, owner: Exc	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Exc	
[4/20/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Exc	
[4/20/23 10:37PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Exc	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 800, owner: Exc	
[4/20/23 10:59PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Exc	
[4/20/23 10:59PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Exc	
[4/20/23 11:05PM] Player picked up item: Coin, id: 995, amount: 2219305, owner: Exc	
[4/20/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Exc	
[4/20/23 11:06PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Exc	
[4/20/23 11:08PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Exc	
[4/20/23 11:08PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Exc	
[4/20/23 11:10PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Exc	
[4/20/23 11:10PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Exc	
[4/20/23 11:17PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Exc	
[4/20/23 11:19PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Exc	
[4/20/23 11:19PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Exc	
[4/20/23 11:20PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Exc	
[4/20/23 11:20PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Exc	
[4/20/23 11:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Exc	
[4/20/23 11:22PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Exc	
[4/20/23 11:24PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Exc	
[4/21/23 05:05AM] Player picked up item: Coin, id: 995, amount: 2450376, owner: Exc	
[4/21/23 05:05AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Exc	
[4/22/23 01:23AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Exc	
[4/22/23 01:34AM] Player picked up item: Coin, id: 995, amount: 1866273, owner: Exc	
[4/22/23 01:34AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Exc	
[4/22/23 01:41AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Exc	
[4/22/23 01:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Exc	
[4/22/23 01:46AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Exc	
[4/22/23 01:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Exc	
[4/22/23 01:48AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Exc	
[4/22/23 01:48AM] Player picked up item: Collector ring, id: 4446, amount: 1, owner: Exc	
[4/22/23 01:48AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Exc	
[4/22/23 07:24AM] Player picked up item: Inferno Boots, id: 13305, amount: 1, owner: Exc	
[4/22/23 07:32AM] Player picked up item: Nagi Amulet, id: 21068, amount: 1, owner: Exc	
