[4/15/23 05:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Thiago	
[4/15/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:09PM] Player picked up item: Coin, id: 995, amount: 200, owner: Thiago	
[4/15/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:09PM] Player picked up item: Coin, id: 995, amount: 200, owner: Thiago	
[4/15/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Thiago	
[4/15/23 05:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Thiago	
[4/15/23 05:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Thiago	
