[4/20/23 10:26AM] Player picked up item: Coin, id: 995, amount: 3563600, owner: Afk Soup	
[4/20/23 10:27AM] Player picked up item: Coin, id: 995, amount: 4000928, owner: Afk Soup	
[4/20/23 10:27AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Afk Soup	
[4/20/23 10:27AM] Player picked up item: Coin, id: 995, amount: 1188748, owner: Afk Soup	
[4/20/23 10:27AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Afk Soup	
[4/20/23 10:31AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Afk Soup	
[4/20/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Afk Soup	
[4/26/23 07:37PM] Player picked up item: Coin, id: 995, amount: 1500215, owner: Afk Soup	
[4/26/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Afk Soup	
[4/26/23 07:37PM] Player picked up item: Infinite overload potion (T3), id: 23126, amount: 1, owner: Afk Soup	
[4/27/23 03:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Afk Soup	
[4/27/23 03:40PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Afk Soup	
[4/27/23 03:41PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gon	
[4/27/23 03:41PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Harambe	
[4/27/23 04:29PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Afk Soup	
[4/27/23 04:29PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Afk Soup	
[4/27/23 04:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Afk Soup	
[4/27/23 04:30PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Afk Soup	
[4/27/23 04:30PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gon	
[4/27/23 04:31PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gon	
[4/27/23 04:31PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gon	
[4/27/23 06:43PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Afk Soup	
[4/27/23 06:43PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Afk Soup	
[4/27/23 06:44PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Afk Soup	
[4/27/23 06:44PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Afk Soup	
[4/27/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Afk Soup	
[4/27/23 09:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Afk Soup	
