[4/18/23 10:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vaasje2	
[4/18/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vaasje2	
[4/18/23 10:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Vaasje2	
