[4/15/23 11:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
[4/15/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Type	
[4/15/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Type	
