[4/17/23 07:10AM] Player picked up item: Coin, id: 995, amount: 2474966, owner: David	
[4/17/23 07:10AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: David	
[4/17/23 07:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: David	
[4/17/23 07:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Oblivion	
[4/17/23 07:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: David	
[4/17/23 07:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: David	
[4/17/23 07:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: David	
[4/17/23 07:21AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: David	
