[4/20/23 02:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 02:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 02:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 02:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 02:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 02:41AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jester	
[4/20/23 02:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jester	
[4/20/23 02:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 02:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 03:06AM] Player picked up item: Coin, id: 995, amount: 300, owner: Jester	
[4/20/23 03:06AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Jester	
[4/20/23 03:06AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 9, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 600, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jester	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Jester	
[4/20/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Jester	
[4/20/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jester	
[4/20/23 03:21AM] Player picked up item: Coin, id: 995, amount: 1256988, owner: Jester	
[4/20/23 03:21AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Jester	
[4/20/23 03:22AM] Player picked up item: Coin, id: 995, amount: 3707618, owner: Jester	
[4/20/23 03:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Jester	
[4/20/23 03:24AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Jester	
[4/20/23 03:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Jester	
[4/20/23 03:25AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Jester	
[4/20/23 03:25AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Jester	
[4/20/23 03:29AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Jester	
[4/20/23 03:29AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Jester	
[4/20/23 03:30AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Jester	
