[4/15/23 06:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Fatality	
[4/15/23 06:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Fatality	
[4/15/23 07:17AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: A Fatality	
[4/15/23 07:21AM] Player picked up item: Coin, id: 995, amount: 700, owner: A Fatality	
[4/15/23 08:53AM] Player picked up item: Coin, id: 995, amount: 6000, owner: A Fatality	
[4/15/23 08:54AM] Player picked up item: Coin, id: 995, amount: 1000, owner: A Fatality	
[4/15/23 08:54AM] Player picked up item: Coin, id: 995, amount: 1000, owner: A Fatality	
[4/15/23 08:54AM] Player picked up item: Coin, id: 995, amount: 2000, owner: A Fatality	
[4/15/23 08:56AM] Player picked up item: Coin, id: 995, amount: 2000, owner: A Fatality	
[4/15/23 08:59AM] Player picked up item: Coin, id: 995, amount: 4000, owner: A Fatality	
[4/15/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: A Fatality	
[4/15/23 08:59AM] Player picked up item: Coin, id: 995, amount: 3000, owner: A Fatality	
[4/15/23 09:01AM] Player picked up item: Coin, id: 995, amount: 4000, owner: A Fatality	
[4/15/23 09:04AM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: A Fatality	
[4/15/23 09:12AM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 09:13AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: A Fatality	
[4/15/23 09:13AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: A Fatality	
[4/15/23 09:17AM] Player picked up item: Coin, id: 995, amount: 4500, owner: A Fatality	
[4/15/23 09:23AM] Player picked up item: Coin, id: 995, amount: 6000, owner: A Fatality	
[4/15/23 09:25AM] Player picked up item: Coin, id: 995, amount: 10500, owner: A Fatality	
[4/15/23 09:30AM] Player picked up item: Coin, id: 995, amount: 1127587, owner: A Fatality	
[4/15/23 09:30AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: A Fatality	
[4/15/23 09:31AM] Player picked up item: Coin, id: 995, amount: 2331937, owner: A Fatality	
[4/15/23 09:31AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: A Fatality	
[4/15/23 09:31AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: A Fatality	
[4/15/23 09:31AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: A Fatality	
[4/15/23 09:38AM] Player picked up item: Coin, id: 995, amount: 10500, owner: A Fatality	
[4/15/23 09:39AM] Player picked up item: Coin, id: 995, amount: 10500, owner: A Fatality	
[4/15/23 09:40AM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 09:41AM] Player picked up item: Coin, id: 995, amount: 3000, owner: A Fatality	
[4/15/23 09:42AM] Player picked up item: Coin, id: 995, amount: 4500, owner: A Fatality	
[4/15/23 09:45AM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 09:46AM] Player picked up item: Coin, id: 995, amount: 3000, owner: A Fatality	
[4/15/23 09:47AM] Player picked up item: Coin, id: 995, amount: 7500, owner: A Fatality	
[4/15/23 09:48AM] Player picked up item: Coin, id: 995, amount: 6000, owner: A Fatality	
[4/15/23 09:48AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: A Fatality	
[4/15/23 09:48AM] Player picked up item: Mystic boots, id: 23025, amount: 1, owner: A Fatality	
[4/15/23 09:51AM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 09:51AM] Player picked up item: Coin, id: 995, amount: 7500, owner: A Fatality	
[4/15/23 03:18PM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 03:19PM] Player picked up item: Coin, id: 995, amount: 3000, owner: A Fatality	
[4/15/23 03:20PM] Player picked up item: Coin, id: 995, amount: 3000, owner: A Fatality	
[4/15/23 03:21PM] Player picked up item: Coin, id: 995, amount: 6000, owner: A Fatality	
[4/15/23 03:21PM] Player picked up item: Coin, id: 995, amount: 1500, owner: A Fatality	
[4/15/23 03:24PM] Player picked up item: Coin, id: 995, amount: 4500, owner: A Fatality	
[4/15/23 03:27PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: A Fatality	
[4/15/23 03:28PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: A Fatality	
[4/15/23 03:31PM] Player picked up item: Coin, id: 995, amount: 1288317, owner: A Fatality	
[4/15/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: A Fatality	
[4/15/23 03:33PM] Player picked up item: Coin, id: 995, amount: 2170698, owner: A Fatality	
[4/15/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: A Fatality	
[4/15/23 03:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: A Fatality	
