[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dx8	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dx8	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dx8	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dx8	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 2423757, owner: Dx8	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dx8	
[4/23/23 10:29AM] Player picked up item: Coin, id: 995, amount: 700, owner: Dx8	
[4/23/23 10:29AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dx8	
[4/26/23 07:06AM] Player picked up item: Coin, id: 995, amount: 1507273, owner: Dx8	
[4/26/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dx8	
[4/26/23 07:08AM] Player picked up item: Coin, id: 995, amount: 2141143, owner: Dx8	
[4/26/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dx8	
[4/26/23 07:09AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Dx8	
[4/26/23 07:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Dx8	
[4/26/23 07:36AM] Player picked up item: Coin, id: 995, amount: 1245030, owner: Dx8	
[4/26/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dx8	
[4/26/23 07:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Dx8	
[4/26/23 07:39AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Dx8	
[4/26/23 07:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Dx8	
[4/26/23 07:40AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Dx8	
