[4/19/23 01:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: S L E E P Y	
[4/19/23 01:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S L E E P Y	
[4/19/23 01:43AM] Player picked up item: Coin, id: 995, amount: 500, owner: S L E E P Y	
[4/19/23 02:46AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: S L E E P Y	
[4/19/23 02:46AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: S L E E P Y	
[4/19/23 02:47AM] Player picked up item: Coin, id: 995, amount: 2400, owner: S L E E P Y	
[4/19/23 02:48AM] Player picked up item: Coin, id: 995, amount: 3000, owner: S L E E P Y	
[4/19/23 02:48AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: S L E E P Y	
[4/19/23 02:50AM] Player picked up item: Coin, id: 995, amount: 1400, owner: S L E E P Y	
[4/19/23 02:50AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: S L E E P Y	
[4/19/23 02:50AM] Player picked up item: Coin, id: 995, amount: 1400, owner: S L E E P Y	
[4/19/23 02:53AM] Player picked up item: Coin, id: 995, amount: 1600, owner: S L E E P Y	
[4/19/23 02:53AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: S L E E P Y	
[4/19/23 02:53AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: S L E E P Y	
[4/19/23 03:02AM] Player picked up item: Coin, id: 995, amount: 36000, owner: S L E E P Y	
[4/19/23 03:02AM] Player picked up item: Coin, id: 995, amount: 9000, owner: S L E E P Y	
[4/19/23 03:03AM] Player picked up item: Coin, id: 995, amount: 18000, owner: S L E E P Y	
[4/19/23 03:08AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: S L E E P Y	
[4/19/23 03:08AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: S L E E P Y	
[4/21/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: S L E E P Y	
[4/21/23 01:35PM] Player picked up item: Coin, id: 995, amount: 2116172, owner: S L E E P Y	
[4/21/23 01:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: S L E E P Y	
[4/21/23 01:38PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: S L E E P Y	
[4/21/23 01:47PM] Player picked up item: Coin, id: 995, amount: 27000, owner: S L E E P Y	
[4/21/23 01:47PM] Player picked up item: Coin, id: 995, amount: 18000, owner: S L E E P Y	
[4/21/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: S L E E P Y	
