[4/20/23 05:59AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Asaitokj	
[4/20/23 05:59AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2pac	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2pac	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2pac	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2pac	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2pac	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2pac	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2pac	
[4/20/23 06:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2pac	
[4/20/23 06:13AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: 2pac	
[4/20/23 06:13AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: 2pac	
[4/20/23 06:14AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: 2pac	
[4/20/23 06:21AM] Player picked up item: Coin, id: 995, amount: 1990446, owner: 2pac	
[4/20/23 06:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2pac	
[4/20/23 06:22AM] Player picked up item: Coin, id: 995, amount: 2112367, owner: 2pac	
[4/20/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2pac	
[4/20/23 06:24AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2pac	
[4/20/23 06:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2pac	
[4/20/23 06:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2pac	
[4/20/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2pac	
[4/20/23 06:30AM] Player picked up item: Coin, id: 995, amount: 1096347, owner: 2pac	
[4/20/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2pac	
[4/20/23 06:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2pac	
[4/20/23 06:34AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2pac	
[4/20/23 06:36AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2pac	
[4/20/23 06:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2pac	
[4/20/23 06:52AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 2pac	
[4/20/23 07:04AM] Player picked up item: Coin, id: 995, amount: 2000, owner: 2pac	
[4/20/23 07:04AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: 2pac	
[4/20/23 07:04AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: 2pac	
[4/20/23 07:21AM] Player picked up item: Coin, id: 995, amount: 1586772, owner: 2pac	
[4/20/23 07:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2pac	
[4/20/23 07:22AM] Player picked up item: Coin, id: 995, amount: 2638963, owner: 2pac	
[4/20/23 07:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2pac	
[4/20/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2pac	
[4/20/23 07:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2pac	
[4/20/23 07:31AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: 2pac	
[4/20/23 07:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2pac	
[4/20/23 07:36AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2pac	
[4/20/23 07:51AM] Player picked up item: Coin, id: 995, amount: 1870641, owner: 2pac	
[4/20/23 07:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2pac	
[4/20/23 07:51AM] Player picked up item: Infinite prayer potion (T3), id: 23123, amount: 1, owner: 2pac	
[4/20/23 08:14AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 2pac	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 1567962, owner: 2pac	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 2pac	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2pac	
[4/20/23 08:29AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: 2pac	
[4/20/23 08:32AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: 2pac	
[4/20/23 08:36AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: 2pac	
[4/20/23 08:38AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: 2pac	
[4/20/23 02:50PM] Player picked up item: Coin, id: 995, amount: 2220565, owner: 2pac	
[4/20/23 02:50PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2pac	
[4/20/23 02:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2pac	
[4/20/23 02:53PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2pac	
[4/20/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1200, owner: Zshana	
