[4/19/23 02:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swavvy	
[4/19/23 02:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swavvy	
[4/19/23 02:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Swavvy	
[4/19/23 02:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:02PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Swavvy	
[4/19/23 02:02PM] Player picked up item: Coin, id: 995, amount: 400, owner: Swavvy	
[4/19/23 02:02PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Swavvy	
[4/19/23 02:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Swavvy	
[4/19/23 02:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Coin, id: 995, amount: 900, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Coin, id: 995, amount: 300, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Coin, id: 995, amount: 300, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Coin, id: 995, amount: 300, owner: Swavvy	
[4/19/23 02:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Swavvy	
[4/19/23 02:10PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Swavvy	
[4/19/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Swavvy	
[4/19/23 02:10PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Swavvy	
[4/19/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Swavvy	
[4/19/23 02:15PM] Player picked up item: Coin, id: 995, amount: 2304030, owner: Swavvy	
[4/19/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Swavvy	
[4/19/23 02:28PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Swavvy	
[4/19/23 02:33PM] Player picked up item: Coin, id: 995, amount: 800, owner: Swavvy	
[4/19/23 02:35PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Swavvy	
[4/19/23 02:37PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Swavvy	
[4/19/23 02:38PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Swavvy	
[4/19/23 02:39PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Swavvy	
[4/19/23 02:39PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Swavvy	
[4/19/23 02:40PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Swavvy	
[4/19/23 02:40PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Swavvy	
[4/19/23 02:45PM] Player picked up item: Coin, id: 995, amount: 1037875, owner: Swavvy	
[4/19/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Swavvy	
[4/19/23 02:59PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Swavvy	
[4/19/23 03:02PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Swavvy	
[4/19/23 03:07PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Swavvy	
[4/19/23 03:15PM] Player picked up item: Coin, id: 995, amount: 2375693, owner: Swavvy	
[4/19/23 03:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Swavvy	
[4/19/23 03:16PM] Player picked up item: Coin, id: 995, amount: 4166874, owner: Swavvy	
[4/19/23 03:16PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Swavvy	
[4/19/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Swavvy	
[4/19/23 03:17PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Swavvy	
[4/19/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Swavvy	
[4/19/23 03:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Swavvy	
[4/19/23 03:23PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Swavvy	
