[4/18/23 01:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zennit	
[4/18/23 01:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Coin, id: 995, amount: 600, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Coin, id: 995, amount: 400, owner: Zennit	
[4/18/23 01:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:09AM] Player picked up item: Coin, id: 995, amount: 400, owner: Zennit	
[4/18/23 01:09AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zennit	
[4/18/23 01:09AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zennit	
[4/18/23 01:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zennit	
[4/18/23 01:12AM] Player picked up item: Coin, id: 995, amount: 1791740, owner: Zennit	
[4/18/23 01:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Zennit	
[4/18/23 01:13AM] Player picked up item: Starter Gloves, id: 19946, amount: 1, owner: Zennit	
