[4/20/23 11:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/20/23 11:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/20/23 11:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:52AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rob	
[4/21/23 08:52AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rob	
[4/21/23 08:52AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rob	
[4/21/23 08:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Rob	
[4/21/23 08:56AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rob	
