[4/23/23 11:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tokinjoker	
[4/23/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tokinjoker	
[4/23/23 11:54AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Tokinjoker	
[4/23/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Tokinjoker	
[4/23/23 12:00PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Tokinjoker	
[4/23/23 12:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tokinjoker	
[4/23/23 12:02PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tokinjoker	
[4/23/23 12:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tokinjoker	
[4/23/23 12:03PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tokinjoker	
[4/23/23 12:04PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Tokinjoker	
[4/23/23 12:04PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Tokinjoker	
[4/23/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Tokinjoker	
[4/23/23 12:06PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Tokinjoker	
