[4/17/23 12:47AM] Player picked up item: Coin, id: 995, amount: 4419848, owner: Asquad	
[4/17/23 12:47AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Asquad	
[4/17/23 12:54AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Asquad	
[4/17/23 12:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Asquad	
[4/17/23 01:00AM] Player picked up item: Coin, id: 995, amount: 1053906, owner: Asquad	
[4/17/23 01:00AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Asquad	
[4/17/23 01:11AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Asquad	
[4/17/23 01:11AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Asquad	
[4/17/23 01:17AM] Player picked up item: Coin, id: 995, amount: 1879645, owner: Asquad	
[4/17/23 01:17AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Asquad	
[4/17/23 07:36AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Asquad	
[4/17/23 07:41AM] Player picked up item: Coin, id: 995, amount: 4112769, owner: Asquad	
[4/17/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Asquad	
[4/17/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Asquad	
[4/17/23 07:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Asquad	
[4/17/23 07:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asquad	
[4/17/23 07:42AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Asquad	
[4/17/23 07:46AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Asquad	
[4/17/23 07:50AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Asquad	
[4/17/23 08:03AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Asquad	
[4/17/23 08:03AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Asquad	
[4/17/23 08:05AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Asquad	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Asquad	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Asquad	
[4/17/23 08:11AM] Player picked up item: Coin, id: 995, amount: 1145814, owner: Asquad	
