[4/16/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 07:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Onehit90	
[4/16/23 07:30AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Onehit90	
[4/16/23 08:34AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Onehit90	
[4/16/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/16/23 08:54AM] Player picked up item: Coin, id: 995, amount: 1460161, owner: Onehit90	
[4/16/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 09:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Onehit90	
[4/16/23 09:09AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Onehit90	
[4/16/23 09:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Onehit90	
[4/16/23 09:10AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Onehit90	
[4/16/23 09:11AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Onehit90	
[4/16/23 09:11AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Onehit90	
[4/16/23 09:24AM] Player picked up item: Coin, id: 995, amount: 1918826, owner: Onehit90	
[4/16/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Onehit90	
[4/16/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 09:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/16/23 09:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Onehit90	
[4/16/23 09:48AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Onehit90	
[4/16/23 09:48AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Onehit90	
[4/16/23 09:50AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Onehit90	
[4/16/23 09:54AM] Player picked up item: Coin, id: 995, amount: 2366800, owner: Onehit90	
[4/16/23 09:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 10:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 10:54AM] Player picked up item: Coin, id: 995, amount: 2227020, owner: Onehit90	
[4/16/23 11:24AM] Player picked up item: Coin, id: 995, amount: 2088013, owner: Onehit90	
[4/16/23 11:24AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
[4/16/23 11:24AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Onehit90	
[4/16/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Onehit90	
[4/16/23 11:26AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Onehit90	
[4/16/23 01:23PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Onehit90	
