[4/17/23 02:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Man	
[4/17/23 02:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:36AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Man	
[4/17/23 02:36AM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Man	
[4/17/23 02:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/17/23 02:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Man	
[4/17/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Iron Man	
[4/17/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Man	
[4/17/23 02:39AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/17/23 02:40AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/17/23 02:40AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Man	
[4/17/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/17/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Man	
[4/17/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/17/23 02:43AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Man	
[4/23/23 02:54PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Man	
[4/23/23 02:55PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Man	
