[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Joseph	
[4/18/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Joseph	
[4/18/23 08:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
[4/18/23 08:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Joseph	
