[4/20/23 02:20PM] Player picked up item: Coin, id: 995, amount: 2379745, owner: Bedroombully	
[4/20/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bedroombully	
[4/20/23 02:22PM] Player picked up item: Coin, id: 995, amount: 2148098, owner: Bedroombully	
[4/20/23 02:22PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bedroombully	
[4/20/23 02:50PM] Player picked up item: Coin, id: 995, amount: 1214084, owner: Bedroombully	
[4/20/23 02:50PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bedroombully	
[4/20/23 02:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bedroombully	
[4/20/23 02:53PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bedroombully	
[4/20/23 02:54PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shadowchii	
[4/20/23 02:54PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shadowchii	
[4/20/23 03:20PM] Player picked up item: Coin, id: 995, amount: 2257154, owner: Bedroombully	
[4/20/23 03:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bedroombully	
[4/20/23 03:21PM] Player picked up item: Coin, id: 995, amount: 4307245, owner: Bedroombully	
[4/20/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bedroombully	
[4/20/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bedroombully	
[4/20/23 03:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bedroombully	
[4/20/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Bedroombully	
[4/20/23 03:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bedroombully	
[4/20/23 03:51PM] Player picked up item: Coin, id: 995, amount: 2365947, owner: Bedroombully	
[4/20/23 03:51PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bedroombully	
[4/20/23 04:20PM] Player picked up item: Coin, id: 995, amount: 2168994, owner: Bedroombully	
[4/20/23 04:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bedroombully	
