[4/17/23 12:03PM] Player picked up item: Coin, id: 995, amount: 2460090, owner: Fpk Kevin	
[4/17/23 12:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fpk Kevin	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 1948817, owner: Fpk Kevin	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fpk Kevin	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 2496437, owner: Fpk Kevin	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fpk Kevin	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fpk Kevin	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fpk Kevin	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fpk Kevin	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fpk Kevin	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fpk Kevin	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fpk Kevin	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fpk Kevin	
[4/17/23 12:11PM] Player picked up item: Coin, id: 995, amount: 2778047, owner: Fpk Kevin	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 2206958, owner: Fpk Kevin	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fpk Kevin	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 3194438, owner: Fpk Kevin	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fpk Kevin	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Fpk Kevin	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Fpk Kevin	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Fpk Kevin	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Fpk Kevin	
[4/17/23 12:15PM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Fpk Kevin	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Fpk Kevin	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fpk Kevin	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fpk Kevin	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fpk Kevin	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fpk Kevin	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 1733319, owner: Fpk Kevin	
[4/17/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fpk Kevin	
[4/17/23 12:18PM] Player picked up item: Coin, id: 995, amount: 3307858, owner: Fpk Kevin	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Fpk Kevin	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fpk Kevin	
[4/17/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fpk Kevin	
[4/17/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Fpk Kevin	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Fpk Kevin	
