[4/16/23 02:54AM] Player picked up item: Coin, id: 995, amount: 2425215, owner: Mr Biggles	
[4/16/23 02:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Biggles	
[4/16/23 02:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Biggles	
[4/17/23 01:12AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Zatrax	
[4/17/23 01:12AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Zatrax	
