[4/19/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rat	
[4/19/23 09:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rat	
[4/19/23 09:26AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Rat	
