[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trevlf	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Trevlf	
[4/16/23 08:35PM] Player picked up item: Coin, id: 995, amount: 800, owner: Trevlf	
[4/16/23 08:35PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trevlf	
[4/16/23 08:35PM] Player picked up item: Coin, id: 995, amount: 400, owner: Trevlf	
[4/16/23 08:35PM] Player picked up item: Coin, id: 995, amount: 400, owner: Trevlf	
[4/16/23 08:35PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Trevlf	
[4/16/23 08:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trevlf	
[4/16/23 08:38PM] Player picked up item: Coin, id: 995, amount: 500, owner: Trevlf	
[4/16/23 08:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trevlf	
[4/16/23 08:38PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Trevlf	
[4/16/23 08:38PM] Player picked up item: Coin, id: 995, amount: 500, owner: Trevlf	
[4/16/23 08:40PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Trevlf	
[4/16/23 08:40PM] Player picked up item: Coin, id: 995, amount: 500, owner: Trevlf	
[4/16/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trevlf	
[4/16/23 08:41PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Trevlf	
[4/16/23 08:41PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Trevlf	
[4/16/23 08:41PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Trevlf	
[4/16/23 08:41PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Trevlf	
[4/16/23 08:42PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Trevlf	
[4/16/23 08:42PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Trevlf	
[4/16/23 08:48PM] Player picked up item: Coin, id: 995, amount: 600, owner: Trevlf	
[4/16/23 08:53PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Trevlf	
[4/16/23 08:53PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Trevlf	
[4/16/23 08:54PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Trevlf	
[4/16/23 08:56PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Trevlf	
[4/16/23 08:57PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Trevlf	
[4/18/23 03:38PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Trevlf	
[4/18/23 03:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Trevlf	
[4/18/23 03:45PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Trevlf	
[4/18/23 03:46PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Trevlf	
[4/18/23 03:47PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Trevlf	
[4/18/23 03:51PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Trevlf	
[4/18/23 03:55PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Trevlf	
[4/18/23 03:59PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Trevlf	
[4/18/23 03:59PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Trevlf	
[4/18/23 04:01PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Trevlf	
[4/18/23 04:05PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Trevlf	
[4/18/23 04:05PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Trevlf	
[4/18/23 04:09PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Trevlf	
[4/18/23 04:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Trevlf	
[4/18/23 04:15PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Trevlf	
[4/18/23 04:18PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Trevlf	
[4/18/23 04:18PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Trevlf	
[4/18/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trevlf	
[4/18/23 04:26PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Trevlf	
[4/18/23 04:26PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Trevlf	
[4/18/23 04:52PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Trevlf	
