[4/15/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 06:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 06:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 06:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 06:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 06:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 06:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruthie	
[4/15/23 06:52AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:02AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:12AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:12AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ruthie	
[4/15/23 07:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 07:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 07:26AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 07:27AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 07:32AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 07:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:06AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 08:06AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:06AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ruthie	
[4/15/23 08:31AM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Ruthie	
[4/15/23 08:32AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:32AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:43AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:49AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:52AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:53AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 08:55AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 08:56AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:59AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Ruthie	
[4/15/23 09:01AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Ruthie	
[4/15/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 09:02AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
[4/15/23 09:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ruthie	
[4/15/23 09:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruthie	
