[4/19/23 01:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smurfit	
[4/19/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pork Belly	
[4/19/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pork Belly	
[4/19/23 01:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Smurfit	
[4/19/23 01:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Smurfit	
[4/19/23 01:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smurfit	
[4/19/23 01:57PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Smurfit	
[4/19/23 02:00PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smurfit	
