[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sean	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sean	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sean	
[4/19/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sean	
