[4/17/23 04:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eckas	
[4/17/23 04:40AM] Player picked up item: Coin, id: 995, amount: 1191949, owner: Eckas	
[4/17/23 04:40AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Eckas	
[4/17/23 04:41AM] Player picked up item: Coin, id: 995, amount: 2681931, owner: Eckas	
[4/17/23 04:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Eckas	
[4/17/23 04:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Eckas	
[4/17/23 04:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eckas	
[4/17/23 04:45AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Eckas	
[4/17/23 04:48AM] Player picked up item: Coin, id: 995, amount: 300, owner: Eckas	
[4/17/23 04:49AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Eckas	
[4/17/23 04:50AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Eckas	
[4/17/23 04:53AM] Player picked up item: Coin, id: 995, amount: 400, owner: Eckas	
[4/17/23 04:54AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Eckas	
[4/17/23 04:54AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Eckas	
