[4/21/23 03:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Its Me	
[4/21/23 03:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Its Me	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
[4/21/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Its Me	
