[4/21/23 09:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: 4bit	
[4/21/23 09:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
[4/21/23 09:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: 4bit	
[4/21/23 09:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
[4/21/23 09:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: 4bit	
[4/21/23 09:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
[4/21/23 09:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
[4/21/23 09:28PM] Player picked up item: Coin, id: 995, amount: 200, owner: 4bit	
[4/21/23 09:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4bit	
[4/21/23 09:34PM] Player picked up item: Coin, id: 995, amount: 1917345, owner: 4bit	
[4/21/23 09:37PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: 4bit	
[4/21/23 09:52PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: 4bit	
[4/21/23 09:58PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Bulba	
[4/21/23 09:59PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4bit	
[4/21/23 09:59PM] Player picked up item: Prosperous prayer scroll, id: 23170, amount: 1, owner: 4bit	
[4/21/23 09:59PM] Player picked up item: Prosperous prayer scroll, id: 23170, amount: 1, owner: 4bit	
[4/21/23 09:59PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: 4bit	
[4/21/23 10:01PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4bit	
[4/21/23 10:01PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 4bit	
[4/21/23 10:04PM] Player picked up item: Coin, id: 995, amount: 1130494, owner: 4bit	
[4/21/23 10:16PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 4bit	
[4/21/23 10:21PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 4bit	
[4/21/23 10:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 3, owner: 4bit	
[4/22/23 10:24AM] Player picked up item: Coin, id: 995, amount: 1800, owner: 4bit	
[4/22/23 10:24AM] Player picked up item: Coin, id: 995, amount: 900, owner: 4bit	
[4/22/23 10:26AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 4bit	
[4/22/23 10:26AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 4bit	
[4/22/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
[4/22/23 10:33AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 4bit	
[4/22/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: 4bit	
[4/22/23 10:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 4bit	
[4/22/23 10:39AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: 4bit	
[4/22/23 10:40AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 4bit	
[4/22/23 10:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: 4bit	
[4/22/23 10:43AM] Player picked up item: Coin, id: 995, amount: 4500, owner: 4bit	
[4/22/23 10:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 4bit	
