[4/19/23 06:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Coin, id: 995, amount: 1084919, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Morbidfaith	
[4/19/23 06:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Morbidfaith	
[4/19/23 06:58PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Morbidfaith	
[4/19/23 07:13PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Morbidfaith	
[4/19/23 07:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Morbidfaith	
[4/19/23 07:15PM] Player picked up item: Coin, id: 995, amount: 1668759, owner: Morbidfaith	
[4/19/23 07:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Morbidfaith	
