[4/15/23 11:44PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Poky	
[4/15/23 11:44PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Poky	
[4/15/23 11:45PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Poky	
[4/15/23 11:45PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Poky	
[4/15/23 11:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Poky	
[4/15/23 11:51PM] Player picked up item: Coin, id: 995, amount: 300, owner: Poky	
[4/15/23 11:54PM] Player picked up item: Coin, id: 995, amount: 2420092, owner: Poky	
[4/15/23 11:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Poky	
[4/15/23 11:56PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Poky	
[4/15/23 11:59PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Poky	
[4/16/23 12:00AM] Player picked up item: Coin, id: 995, amount: 500, owner: Poky	
