[4/16/23 05:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:47AM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: Mcchowtime	
[4/16/23 05:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: 21a	
[4/16/23 05:51AM] Player picked up item: Coin, id: 995, amount: 400, owner: 21a	
